Date,Unhedged_Portfolio_Value,Hedged_Portfolio_Value,Daily_Hedge_Ratio
2023-12-07,144059.45845004258,99931.4393495952,326.6084674822225
2023-12-08,144581.81502498465,99868.54116585464,318.1243954227785
2023-12-11,146052.15332569176,100476.60383518733,339.33009925480155
2023-12-12,146699.6509538611,100455.16565680846,328.99369015685807
2023-12-13,148858.16645125853,100508.55643510062,332.86726652394964
2023-12-14,149696.75268922444,100744.5117243764,332.176223139511
2023-12-15,149231.81941236442,100602.10447579592,332.9707039154073
2023-12-18,149592.17373807958,100217.38048813537,358.1750267221839
2023-12-19,150597.485193476,100281.8645167788,322.9318735382913
2023-12-20,148226.51729937753,100220.29878187421,352.1413787014141
2023-12-21,149882.06849082877,100280.02895260045,360.2378162529375
2023-12-22,150402.55573511642,100403.68693241595,360.5356758764718
2023-12-26,151092.5265677381,100394.78215863665,358.42226843392615
2023-12-27,151378.58548044547,100383.71806425348,358.65544894158387
2023-12-28,151540.99753691093,100449.09702896599,361.5006344645855
2023-12-29,151085.17240667556,100466.91372488023,356.3403593119527
2024-01-02,150332.95697802748,100569.3716484969,347.35949932734735
2024-01-03,148699.18990901677,100427.3150377168,374.16988363067276
2024-01-04,148566.38783377892,100711.7719340788,374.68501813677864
2024-01-05,148913.53678438193,100789.10138321917,371.3765720508102
2024-01-08,150606.20837855633,100596.5875466612,300.69729987910944
2024-01-09,149895.86513053757,100265.15957066826,302.06239042777895
2024-01-10,150036.61373137592,99868.41506060855,277.69697863469526
2024-01-11,149639.03033866012,99641.67106340223,275.6640990775597
2024-01-12,149582.20219587575,99544.49004378484,274.85240852312984
2024-01-16,149070.86115797696,99516.82594986148,273.5704711767941
2024-01-17,148217.72749739338,99427.08492767863,277.3329909462285
2024-01-18,148936.54179044403,99231.11353291938,244.26345418844986
2024-01-19,150746.21892372362,99335.67398063935,283.40294415521447
2024-01-22,150853.10425721222,99216.83607934657,286.5094908393414
2024-01-23,150825.60051111097,98940.82530351802,282.50939651538636
2024-01-24,150157.70358393763,98406.87642638625,279.20229540953426
2024-01-25,151240.93755229516,98602.12743166204,303.61277537517515
2024-01-26,151561.38481557215,98922.57733001944,282.07261862228347
2024-01-29,152817.89195609264,99020.58645665055,292.13371772255874
2024-01-30,153040.94810760088,99233.597475419,283.9983391187482
2024-01-31,151283.41394649688,99347.49662619902,247.11230018850367
2024-02-01,153020.4083040843,99429.30503317811,259.5333196242335
2024-02-02,153206.55856796683,98835.1110000849,215.73757265739138
2024-02-05,151627.5210811772,98087.01397273516,235.7978429857616
2024-02-06,152081.0845710504,98164.87408119258,237.42418620332222
2024-02-07,152918.08102475054,98095.83801895393,232.78214352363935
2024-02-08,153181.44946468226,98233.42680704854,226.73935317383058
2024-02-09,153888.81573175016,98262.72241954747,233.81389459991092
2024-02-12,154320.74537614093,98568.96815242425,221.5186838475075
2024-02-13,151977.77506935943,98151.9129141123,249.19810292479056
2024-02-14,153599.0889752662,98365.52058638279,293.3143698530661
2024-02-15,155052.15718649863,98645.62232899516,301.5945781215568
2024-02-16,154087.53455848273,98582.93041177474,352.52477606519886
2024-02-20,153388.6229109201,98699.5969955747,326.8291564045222
