,beta
2022-08-31,1.0336624242177876
2022-09-01,1.011791867826693
2022-09-02,1.002639724715038
2022-09-06,1.0068796735408272
2022-09-07,1.0311445731936597
2022-09-08,1.0417256990270798
2022-09-09,1.0223804435251775
2022-09-12,0.9832944174538077
2022-09-13,0.9614802697648672
2022-09-14,0.9589125340232613
2022-09-15,0.9604582479602272
2022-09-16,0.9726494483878584
2022-09-19,0.9687080190421842
2022-09-20,0.9805314622787586
2022-09-21,0.9535709651078852
2022-09-22,0.9395258503117256
2022-09-23,0.9186601461979231
2022-09-26,0.9084467192223733
2022-09-27,1.025037934910945
2022-09-28,1.1115188644362988
2022-09-29,1.0751606567771375
2022-09-30,1.0593005352948155
2022-10-03,1.0933067600610877
2022-10-04,1.1056101104927956
2022-10-05,1.115973651141677
2022-10-06,1.097973344134218
2022-10-07,1.0894996792229839
2022-10-10,1.0791392569360148
2022-10-11,1.0786667529927858
2022-10-12,1.0755921054037112
2022-10-13,1.052800221946195
2022-10-14,1.0593807139851434
2022-10-17,1.0390980916746615
2022-10-18,1.0078103432879317
2022-10-19,1.0108269106168852
2022-10-20,1.0109378371518345
2022-10-21,0.982600827934431
2022-10-24,0.992976504661469
2022-10-25,1.002379916739154
2022-10-26,0.9682206631474448
2022-10-27,0.9431463906654051
2022-10-28,0.8884939730131345
2022-10-31,0.9088418222805913
2022-11-01,0.8924737909301422
2022-11-02,0.9215394002836027
2022-11-03,0.9033602434126303
2022-11-04,0.9279597035612497
2022-11-07,0.9226529167382834
2022-11-08,0.9284245875795608
2022-11-09,0.951061065536799
2022-11-10,0.9666048692722946
2022-11-11,0.9622330299185237
2022-11-14,0.9677331355616886
2022-11-15,0.9755742452459597
2022-11-16,0.9843148366434238
2022-11-17,1.0044301070502406
2022-11-18,1.0007988640445062
2022-11-21,0.9995773082829137
2022-11-22,0.9985421642892907
2022-11-23,1.0243671149894442
2022-11-25,1.093894383974332
2022-11-28,1.0664512112792879
2022-11-29,1.0377340047286672
2022-11-30,0.8901189914738886
2022-12-01,0.8638453486825014
2022-12-02,0.8564443979818531
2022-12-05,0.8908012445848962
2022-12-06,0.8986574053056222
2022-12-07,0.8909140509530167
2022-12-08,0.8987028984943268
2022-12-09,0.8982966991551754
2022-12-12,0.9179264174368371
2022-12-13,0.9218535413266823
2022-12-14,1.0301928215200016
2022-12-15,1.0062903699152128
2022-12-16,0.9977794427435113
2022-12-19,0.9973004270798749
2022-12-20,1.0140237057741748
2022-12-21,1.0219605435052028
2022-12-22,1.0152413591324543
2022-12-23,1.013674659949804
2022-12-27,0.995104724577056
2022-12-28,1.0142651906332114
2022-12-29,0.9887457971694127
2022-12-30,0.9796322311992954
2023-01-03,0.9791361070840375
2023-01-04,0.9785998702611753
2023-01-05,1.0264503506832467
2023-01-06,1.0422290067880708
2023-01-09,1.0416743240712034
2023-01-10,1.04494953870751
2023-01-11,1.0196965554229265
2023-01-12,1.0381048214287205
2023-01-13,1.0691718985193044
2023-01-17,1.0573049149744667
2023-01-18,1.0964922098129017
2023-01-19,1.1042102767583697
2023-01-20,1.0556895394438819
2023-01-23,1.0227632358346934
2023-01-24,1.044484127529416
2023-01-25,1.033866969671685
2023-01-26,1.058586726180827
2023-01-27,1.0563212164767735
2023-01-30,1.0111217513716195
2023-01-31,1.011060890203363
2023-02-01,1.001728956049023
2023-02-02,0.9079123863592635
2023-02-03,0.9076543517898067
2023-02-06,0.8997700183793048
2023-02-07,0.8853448564789298
2023-02-08,0.8738324971240382
2023-02-09,0.8871014174867056
2023-02-10,0.8913725899367356
2023-02-13,0.9075840697343567
2023-02-14,0.8886326125363991
2023-02-15,0.8785575820083327
2023-02-16,0.9429084917806783
2023-02-17,0.9196550481232043
2023-02-21,0.9366729555981383
2023-02-22,0.9875500586807076
2023-02-23,0.9731703902011593
2023-02-24,0.9586178750238562
2023-02-27,0.9404576514497961
2023-02-28,0.9764412328221788
2023-03-01,0.9814400933634282
2023-03-02,0.9126093768273705
2023-03-03,0.9157471696020492
2023-03-06,0.9107811805677306
2023-03-07,0.9192590529429112
2023-03-08,0.9218119066829856
2023-03-09,1.0204380173176653
2023-03-10,1.0778513985077534
2023-03-13,1.074828413854773
2023-03-14,1.0828223927963003
2023-03-15,1.1047656250359825
2023-03-16,1.0956858452904743
2023-03-17,1.1015547576837919
2023-03-20,1.1241217611260457
2023-03-21,1.1774235641710773
2023-03-22,1.1758813009928695
2023-03-23,1.1848381122162688
2023-03-24,1.1856282301072654
2023-03-27,1.17438858864881
2023-03-28,1.1628981376078704
2023-03-29,1.1359589789166844
2023-03-30,1.1679756266178218
2023-03-31,1.1731180290728125
2023-04-03,1.1661852163369058
2023-04-04,1.1484855577514517
2023-04-05,1.0832395154361536
2023-04-06,1.0606431896086546
2023-04-10,1.0413195899965728
2023-04-11,1.0092888144629861
2023-04-12,1.0427038047010666
2023-04-13,0.9308248536016687
2023-04-14,0.924793546630969
2023-04-17,0.8632539695649687
2023-04-18,0.8909780660857679
2023-04-19,0.7739367834186509
2023-04-20,0.8354547268552452
2023-04-21,0.8867746602634536
2023-04-24,0.8792738117952854
2023-04-25,0.9551402347433626
2023-04-26,0.9660404621882102
2023-04-27,0.9384002316819575
2023-04-28,0.9490621233356382
2023-05-01,0.9325108898410369
2023-05-02,0.9457405246300978
2023-05-03,0.9517921233750104
2023-05-04,0.9323312788599527
2023-05-05,0.9764908272241543
2023-05-08,0.9774827626892607
2023-05-09,0.9543514370541364
2023-05-10,0.9382487266855871
2023-05-11,1.0104957748165713
2023-05-12,1.018197919584723
2023-05-15,1.0318460018229674
2023-05-16,1.045426801784834
2023-05-17,1.0346222700203251
2023-05-18,1.061405528433556
2023-05-19,1.0962461750048365
2023-05-22,1.0939659142868747
2023-05-23,1.1087637935640082
2023-05-24,1.1777617785146242
2023-05-25,1.0760765300218467
2023-05-26,1.0359661689823085
2023-05-30,1.0271534130415598
2023-05-31,0.9718885530198839
2023-06-01,0.9353785741047923
2023-06-02,1.0222862926745435
2023-06-05,1.0246030127534989
2023-06-06,1.034535737558145
2023-06-07,0.9742666876581987
